"hit","align.length","mismatch","indel","unalign.length","total.miss"
"62_62",65,2,1,0,"3"
"50_77",65,0,0,0,"0"
"10_52",65,1,0,0,"1"
"42_42",65,1,0,0,"1"
"32_78",64,7,0,1,"8"
"68_62",65,0,1,0,"1"
"43_56",65,2,0,0,"2"
"77_34",65,1,0,0,"1"
"64_18",64,7,0,1,"8"
"33_40",65,1,0,0,"1"
"40_85",65,0,0,0,"0"
"37_66",65,0,0,0,"0"
"91_91",65,0,0,0,"0"
"46_3",65,0,0,0,"0"
"43_47",65,5,0,0,"5"
"65_44",65,4,0,0,"4"
"47_77",65,0,0,0,"0"
"62_37",65,0,0,0,"0"
"65_7",65,0,0,0,"0"
"17_38",65,0,0,0,"0"
"31_31",65,3,0,0,"3"
"62_50",65,1,0,0,"1"
"23_59",65,1,0,0,"1"
"39_39",65,0,0,0,"0"
"90_47",65,0,0,0,"0"
"20_40",65,0,0,0,"0"
"41_54",65,1,0,0,"1"
"63_40",65,1,0,0,"1"
"17_84",65,0,0,0,"0"
"24_91",65,3,0,0,"3"
"88_40",65,0,0,0,"0"
"38_37",65,0,0,0,"0"
"30_17",65,1,0,0,"1"
"44_57",65,1,0,0,"1"
"46_88",65,0,0,0,"0"
"53_74",65,0,0,0,"0"
"24_32",65,0,0,0,"0"
"39_41",65,0,0,0,"0"
"49_43",65,2,0,0,"2"
"46_16",65,0,0,0,"0"
"59_44",65,3,0,0,"3"
"38_49",65,0,1,0,"1"
"38_40",65,0,0,0,"0"
"80_43",65,1,0,0,"1"
"90_40",64,5,0,1,"6"
"17_56",63,0,0,2,"2"
"16_63",65,1,0,0,"1"
"36_63",65,0,0,0,"0"
"75_76",64,0,0,1,"1"
"1_37",65,0,0,0,"0"
"56_42",65,2,0,0,"2"
"24_17",65,0,0,0,"0"
"40_58",65,3,0,0,"3"
"88_34",65,0,0,0,"0"
"24_17",65,1,0,0,"1"
"77_43",65,1,0,0,"1"
"38_42",65,0,0,0,"0"
"33_53",65,0,0,0,"0"
"33_4",65,0,0,0,"0"
"60_43",65,0,0,0,"0"
"63_54",65,3,0,0,"3"
"23_53",65,0,0,0,"0"
"48_44",65,1,1,0,"2"
"22_6",65,1,0,0,"1"
"17_24",65,0,0,0,"0"
"79_1",65,1,0,0,"1"
"78_50",65,9,0,0,"9"
"43_40",65,1,0,0,"1"
"55_89",65,0,0,0,"0"
"17_23",65,3,0,0,"3"
"91_40",65,1,0,0,"1"
"56_62",65,0,0,0,"0"
"53_5",65,0,0,0,"0"
"30_25",65,0,0,0,"0"
"64_78",65,0,0,0,"0"
"32_67",65,1,0,0,"1"
"51_90",65,0,1,0,"1"
"87_40",65,0,0,0,"0"
"19_63",65,0,0,0,"0"
"31_66",65,4,0,0,"4"
"80_17",65,0,0,0,"0"
"53_79",65,0,0,0,"0"
"16_39",65,0,0,0,"0"
"50_78",65,0,0,0,"0"
"73_85",65,0,0,0,"0"
"79_40",65,0,0,0,"0"
"44_77",65,0,0,0,"0"
"40_42",65,0,0,0,"0"
"77_58",65,4,0,0,"4"
"43_43",65,2,0,0,"2"
"54_40",65,1,0,0,"1"
"66_40",65,1,1,0,"2"
"20_58",65,0,0,0,"0"
"49_3",63,0,0,2,"2"
"78_59",65,0,0,0,"0"
"42_84",65,0,0,0,"0"
"91_47",65,0,0,0,"0"
"16_41",65,0,0,0,"0"
"91_64",65,0,0,0,"0"
"23_6",65,0,0,0,"0"
"41_37",65,0,0,0,"0"
"40_44",65,0,0,0,"0"
"64_63",65,1,0,0,"1"
