"hit","align.length","mismatch","indel","unalign.length","total.miss"
"64_78",65,0,0,0,0
"32_67",65,1,0,0,1
"51_90",65,0,1,0,1
"87_40",65,0,0,0,0
"19_63",65,0,0,0,0
"80_17",65,0,0,0,0
"53_79",65,0,0,0,0
"16_39",65,0,0,0,0
"50_78",65,0,0,0,0
"73_85",65,0,0,0,0
"79_40",65,0,0,0,0
"44_77",65,0,0,0,0
"40_42",65,0,0,0,0
"43_43",65,2,0,0,2
"54_40",65,1,0,0,1
"66_40",65,1,1,0,2
"20_58",65,0,0,0,0
"49_3",63,0,0,2,2
"78_59",65,0,0,0,0
"42_84",65,0,0,0,0
"91_47",65,0,0,0,0
"16_41",65,0,0,0,0
"91_64",65,0,0,0,0
"23_6",65,0,0,0,0
"41_37",65,0,0,0,0
"40_44",65,0,0,0,0
"64_63",65,1,0,0,1
"17_18",65,0,1,0,1
"79_39",65,2,0,0,2
"43_38",65,2,0,0,2
"90_52",65,1,0,0,1
"31_48",65,1,0,0,1
"51_43",65,0,0,0,0
"67_52",65,0,0,0,0
"76_36",65,0,0,0,0
"89_44",65,0,0,0,0
"19_44",65,1,0,0,1
"52_67",65,0,0,0,0
"79_40",65,1,0,0,1
"27_65",65,0,0,0,0
"33_55",65,1,0,0,1
"90_82",65,2,0,0,2
"81_39",65,1,1,0,2
"40_3",65,2,0,0,2
"89_16",65,0,0,0,0
"23_65",65,0,0,0,0
"79_79",65,0,1,0,1
"65_18",65,1,0,0,1
"34_24",65,2,0,0,2
"33_43",65,2,0,0,2
"26_63",65,0,0,0,0
"78_47",65,1,0,0,1
"67_44",65,0,0,0,0
"60_23",65,2,0,0,2
"62_61",65,0,0,0,0
"46_1",65,0,0,0,0
"60_19",65,1,0,0,1
"81_65",65,1,0,0,1
"68_58",65,0,1,0,1
"37_34",65,1,0,0,1
"67_49",65,0,0,0,0
"37_51",65,0,0,0,0
"57_86",65,2,0,0,2
"50_24",65,1,0,0,1
"20_17",65,2,0,0,2
"32_61",65,0,0,0,0
"20_34",65,0,0,0,0
"37_51",65,0,0,0,0
"91_91",65,0,0,0,0
"16_20",65,1,0,0,1
