"hit","align.length","mismatch","indel","unalign.length","total.miss"
"39_87",65,0,0,0,0
"39_19",65,0,0,0,0
"41_48",65,0,1,0,1
"35_10",65,0,0,0,0
"70_62",65,1,0,0,1
"18_29",65,2,0,0,2
"12_82",65,1,0,0,1
"18_74",65,1,0,0,1
"69_30",65,0,0,0,0
"22_76",65,0,0,0,0
"5_40",65,0,0,0,0
"48_49",65,0,0,0,0
"5_44",65,2,0,0,2
"17_69",65,1,0,0,1
"14_7",65,0,0,0,0
"70_85",65,0,0,0,0
"60_7",65,1,0,0,1
"54_52",65,0,0,0,0
"80_35",65,2,0,0,2
"34_67",65,0,0,0,0
"71_15",65,0,0,0,0
"21_27",65,1,0,0,1
"76_3",65,0,0,0,0
"14_65",65,0,0,0,0
"77_91",65,0,0,0,0
"31_79",65,0,0,0,0
"43_49",65,0,0,0,0
"50_14",65,1,0,0,1
"12_12",65,0,0,0,0
"63_38",65,0,0,0,0
"90_23",65,2,0,0,2
"23_41",65,1,0,0,1
"9_7",65,0,0,0,0
"47_22",65,2,0,0,2
"79_16",65,0,0,0,0
"52_90",65,0,0,0,0
"91_45",65,1,0,0,1
"53_7",65,0,0,0,0
"64_34",65,0,0,0,0
"3_45",65,0,0,0,0
"33_3",65,0,0,0,0
"48_16",65,0,0,0,0
"46_48",65,0,0,0,0
"46_78",65,0,0,0,0
"45_20",65,1,0,0,1
"34_12",65,1,0,0,1
"54_71",65,0,0,0,0
"53_72",65,0,0,0,0
"60_79",65,0,0,0,0
"79_23",65,0,0,0,0
"65_46",65,0,0,0,0
"44_79",65,0,1,0,1
"17_73",65,0,0,0,0
"85_3",65,0,2,0,2
"82_85",65,1,1,0,2
"48_85",65,1,0,0,1
"35_84",65,1,0,0,1
"89_42",65,1,0,0,1
"16_84",65,0,0,0,0
"20_90",65,0,0,0,0
"88_33",65,0,0,0,0
"78_86",65,0,0,0,0
"20_25",65,0,0,0,0
"53_40",65,1,0,0,1
"45_54",65,1,0,0,1
"5_7",65,0,0,0,0
"16_70",65,0,0,0,0
"77_52",65,1,0,0,1
"15_77",65,0,0,0,0
"53_78",65,0,0,0,0
"52_76",65,0,0,0,0
"9_54",65,0,0,0,0
"40_50",65,0,0,0,0
"78_39",65,0,0,0,0
"36_65",65,1,0,0,1
"77_18",65,0,0,0,0
"10_74",65,0,0,0,0
"23_27",65,1,0,0,1
"62_67",65,0,0,0,0
"59_75",65,0,0,0,0
"34_65",65,2,0,0,2
"69_55",65,1,0,0,1
"90_50",65,0,0,0,0
"90_91",65,0,0,0,0
"78_39",65,0,0,0,0
"18_47",65,0,0,0,0
"42_55",65,1,0,0,1
"17_80",65,1,0,0,1
"88_60",65,0,0,0,0
"24_7",65,0,0,0,0
"67_5",65,0,0,0,0
"80_7",65,0,0,0,0
"26_77",65,1,0,0,1
"29_59",65,0,0,0,0
"66_4",65,2,0,0,2
"90_4",65,0,0,0,0
"18_5",65,0,0,0,0
"26_59",65,0,0,0,0
"84_41",65,0,0,0,0
"62_91",65,0,0,0,0
"76_5",65,0,0,0,0
"34_33",65,2,0,0,2
"79_77",65,0,0,0,0
"1_20",65,0,0,0,0
"56_91",65,1,0,0,1
"7_43",65,0,0,0,0
"31_12",65,0,0,0,0
"80_29",65,0,0,0,0
"25_72",65,0,0,0,0
"7_78",65,0,1,0,1
"57_79",65,0,0,0,0
"84_26",65,0,0,0,0
"40_75",65,0,0,0,0
"31_25",65,0,0,0,0
"69_86",65,0,1,0,1
"38_58",65,0,0,0,0
"76_44",65,2,0,0,2
"77_80",65,0,0,0,0
"6_60",65,2,0,0,2
"84_77",65,0,0,0,0
"87_86",65,1,0,0,1
"78_89",65,0,0,0,0
"69_78",65,0,0,0,0
"25_69",65,0,0,0,0
"22_47",65,0,0,0,0
"4_78",65,0,0,0,0
"60_47",65,1,0,0,1
"33_6",65,1,0,0,1
"76_9",65,1,0,0,1
"21_3",65,1,0,0,1
"82_70",65,0,0,0,0
"74_5",65,0,0,0,0
"89_7",65,0,0,0,0
"55_23",65,2,0,0,2
"67_18",65,0,0,0,0
"22_1",65,2,0,0,2
"79_22",65,1,0,0,1
"22_91",65,0,0,0,0
"55_15",65,1,0,0,1
"72_1",65,2,0,0,2
"6_7",65,0,0,0,0
"91_3",65,0,0,0,0
"8_45",65,0,0,0,0
"77_71",65,0,0,0,0
"11_52",65,1,0,0,1
"11_76",65,0,0,0,0
"21_30",65,1,0,0,1
"89_50",65,1,0,0,1
"20_59",65,0,0,0,0
"80_26",65,0,1,0,1
"91_17",65,0,0,0,0
"22_30",65,0,0,0,0
"43_59",65,0,0,0,0
"77_43",65,2,0,0,2
"50_48",65,0,0,0,0
"11_42",65,0,0,0,0
"34_62",65,1,0,0,1
"70_40",65,0,0,0,0
"62_55",65,0,0,0,0
"74_43",65,1,0,0,1
"66_61",65,2,0,0,2
"72_44",65,0,0,0,0
"18_56",65,1,0,0,1
"69_12",65,0,0,0,0
"1_56",65,0,0,0,0
"73_91",65,0,1,0,1
"48_66",65,0,0,0,0
"21_74",65,0,0,0,0
"38_38",65,0,0,0,0
"8_74",65,0,0,0,0
"88_26",65,1,0,0,1
"41_88",65,1,0,0,1
"67_3",65,1,0,0,1
"54_30",65,0,0,0,0
"1_81",65,2,0,0,2
"30_83",65,1,0,0,1
"65_71",65,0,0,0,0
"67_45",65,0,0,0,0
"53_3",65,0,0,0,0
"19_38",65,2,0,0,2
"39_62",65,0,0,0,0
"57_6",65,0,0,0,0
"53_78",65,0,0,0,0
"79_82",65,1,0,0,1
"84_42",65,1,0,0,1
"85_77",65,0,0,0,0
"59_45",65,0,0,0,0
"40_7",65,0,0,0,0
"45_77",65,2,0,0,2
"34_88",65,0,0,0,0
"46_63",65,0,0,0,0
"61_66",65,0,0,0,0
"73_14",65,0,0,0,0
"62_38",65,0,0,0,0
"84_65",65,0,0,0,0
"77_4",65,1,0,0,1
"65_23",65,0,0,0,0
"37_33",65,1,0,0,1
"49_81",65,1,0,0,1
"25_46",65,2,0,0,2
"82_87",65,0,0,0,0
"36_55",65,0,0,0,0
"33_21",65,0,0,0,0
"60_17",65,0,0,0,0
"25_42",65,1,0,0,1
"80_89",65,0,0,0,0
"46_44",65,0,1,0,1
"70_30",65,0,0,0,0
"10_35",65,0,0,0,0
"8_44",65,1,0,0,1
"89_76",65,0,0,0,0
"17_50",65,1,0,0,1
"25_51",65,1,0,0,1
"16_65",65,0,0,0,0
"63_55",65,1,0,0,1
"50_4",65,0,0,0,0
"81_59",65,0,0,0,0
"2_66",65,0,0,0,0
"69_81",65,0,0,0,0
"4_84",65,0,0,0,0
"21_30",65,0,0,0,0
"40_7",65,0,0,0,0
"48_41",65,1,0,0,1
"60_67",65,0,0,0,0
"11_81",65,0,0,0,0
"50_75",65,0,0,0,0
"79_42",65,1,0,0,1
"82_8",65,2,0,0,2
"7_28",65,0,0,0,0
"37_79",65,1,0,0,1
"67_65",65,2,0,0,2
"43_28",65,0,0,0,0
"12_78",65,0,0,0,0
"41_17",65,0,0,0,0
"81_2",65,2,0,0,2
"91_72",65,0,0,0,0
"33_35",65,2,0,0,2
"76_7",65,0,0,0,0
"35_41",65,0,0,0,0
"84_77",65,0,0,0,0
"86_48",65,2,0,0,2
"77_31",65,0,0,0,0
"18_48",65,1,0,0,1
"11_73",65,0,0,0,0
"22_77",65,1,0,0,1
"59_55",65,0,0,0,0
"48_54",65,0,0,0,0
"41_38",65,1,0,0,1
"39_23",65,0,0,0,0
"84_20",65,0,0,0,0
